corporateID,corporateType,corporateName,corporateKana,location,moddate
3210001012706,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エツミ光学,エツミコウガク,福井県鯖江市糺町２１号４番地の８,2020-09-14T15:00:00.000Z
2210001012707,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エレガント眼鏡,エレガントガンキョウ,福井県鯖江市下河端町６５号１３番地,2020-04-23T15:00:00.000Z
1210001012708,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エイコー金属,,福井県鯖江市杉本町３０字２０番地１,2015-11-12T15:00:00.000Z
9210001012709,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エフアールスクリーン,,福井県鯖江市小泉町３１号２番地の２,2015-11-12T15:00:00.000Z
7210001012710,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エス・ケイ・ワイ・システムズ,エスケイワイシステムズ,福井県鯖江市糺町３２字１番地の１,2020-04-23T15:00:00.000Z
6210001012711,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エンジョイアイウエア,,福井県鯖江市上氏家町第２号４番地,2015-11-12T15:00:00.000Z
5210001012712,http://imi.go.jp/ns/code_id/code/kind#301,株式会社栄新,エイシン,福井県鯖江市丸山町２丁目６番９号,2019-12-12T15:00:00.000Z
3210001012714,http://imi.go.jp/ns/code_id/code/kind#301,北陸電機株式会社,ホクリクデンキ,福井県鯖江市水落町第７号２２番地の２,2019-06-18T15:00:00.000Z
1210001012716,http://imi.go.jp/ns/code_id/code/kind#301,エスパル株式会社,,福井県鯖江市柳町１丁目９番５号,2015-11-12T15:00:00.000Z
8210001012718,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エフアンドエフ,,福井県鯖江市下河端町２号２２番地の３,2015-11-12T15:00:00.000Z
7210001012719,http://imi.go.jp/ns/code_id/code/kind#301,エム・ネットワーク株式会社,エムネットワーク,福井県鯖江市神中町２丁目６０５番地３２,2019-07-17T15:00:00.000Z
5210001012720,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エイビーシーツーリスト,エイビーシーツーリスト,福井県鯖江市日の出町２番１号,2020-11-19T15:00:00.000Z
2210001012723,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エー・ケー,,福井県鯖江市柳町４丁目３番２１号,2015-11-12T15:00:00.000Z
9210001012725,http://imi.go.jp/ns/code_id/code/kind#301,株式会社エルテクト,エルテクト,福井県鯖江市御幸町１丁目２番３２号,2018-12-16T15:00:00.000Z
8210001012726,http://imi.go.jp/ns/code_id/code/kind#301,株式会社アイゼン,アイゼン,福井県鯖江市上鯖江１丁目１０番１２号,2018-06-11T15:00:00.000Z
7210001012727,http://imi.go.jp/ns/code_id/code/kind#301,大谷眼鏡光器株式会社,,福井県鯖江市橋立町６号６６番地,2015-11-12T15:00:00.000Z
6210001012728,http://imi.go.jp/ns/code_id/code/kind#301,大平漆器株式会社,,福井県鯖江市河和田町２０号１２番地,2015-11-12T15:00:00.000Z
5210001012729,http://imi.go.jp/ns/code_id/code/kind#301,岡野コンクリート株式会社,オカノコンクリート,福井県鯖江市神明町３丁目３番５号,2021-09-09T15:00:00.000Z
